,sample_code,station_no,site,seaweed,date,day,month,year,parsed_date,species_id,measurement_value,measurement_type,measurement_origin,y_axis,station,sample_order
17,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2021-12-10_2
18,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2021-12-10_2
19,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2021-12-10_2
20,Pabay_10_12_21_2,2,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2021-12-10_2
21,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2021-12-10_3
22,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2021-12-10_3
23,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2021-12-10_3
24,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2021-12-10_3
25,Pabay_10_12_21_3,3,Pabay,Alaria,10/12/2021,10,12,2021,10/12/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2021-12-10_3
26,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2021-12-10_3
27,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2021-12-10_3
28,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2021-12-10_3
29,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2021-12-10_3
30,Pabay_10_12_21_3,3,Pabay,Saccharina,10/12/2021,10,12,2021,10/12/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2021-12-10_3
36,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-04-10_1
37,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-04-10_1
38,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-04-10_1
39,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-04-10_1
40,Pabay_10_4_22_1,1,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-04-10_1
46,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-04-10_2
47,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-04-10_2
48,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-04-10_2
49,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-04-10_2
50,Pabay_10_4_22_2,2,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-04-10_2
56,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-04-10_3
57,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-04-10_3
58,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-04-10_3
59,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-04-10_3
60,Pabay_10_4_22_3,3,Pabay,Saccharina,10/04/2022,10,4,2022,10/04/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-04-10_3
61,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2021-11-13_1
62,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2021-11-13_1
63,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2021-11-13_1
64,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2021-11-13_1
65,Pabay_13_11_21_1,1,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2021-11-13_1
66,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2021-11-13_1
67,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2021-11-13_1
68,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2021-11-13_1
69,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2021-11-13_1
70,Pabay_13_11_21_1,1,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2021-11-13_1
71,Pabay_13_11_21_2,2,Pabay ,Alaria,13/11/2021,13,11,2021,13/11/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2021-11-13_2
72,Pabay_13_11_21_2,2,Pabay ,Alaria,13/11/2021,13,11,2021,13/11/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2021-11-13_2
73,Pabay_13_11_21_2,2,Pabay ,Alaria,13/11/2021,13,11,2021,13/11/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2021-11-13_2
74,Pabay_13_11_21_2,2,Pabay ,Alaria,13/11/2021,13,11,2021,13/11/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2021-11-13_2
75,Pabay_13_11_21_2,2,Pabay ,Alaria,13/11/2021,13,11,2021,13/11/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2021-11-13_2
76,Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,13/11/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2021-11-13_2
77,Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,13/11/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2021-11-13_2
78,Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,13/11/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2021-11-13_2
79,Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,13/11/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2021-11-13_2
80,Pabay_13_11_21_2,2,Pabay ,Saccharina,13/11/2021,13,11,2021,13/11/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2021-11-13_2
81,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2021-11-13_3
82,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2021-11-13_3
83,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2021-11-13_3
84,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2021-11-13_3
85,Pabay_13_11_21_3,3,Pabay,Alaria,13/11/2021,13,11,2021,13/11/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2021-11-13_3
86,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2021-11-13_3
87,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2021-11-13_3
88,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2021-11-13_3
89,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2021-11-13_3
90,Pabay_13_11_21_3,3,Pabay,Saccharina,13/11/2021,13,11,2021,13/11/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2021-11-13_3
91,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-01-14_1
92,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-01-14_1
93,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-01-14_1
94,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-01-14_1
95,Pabay_14_1_22_1,1,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-01-14_1
96,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-01-14_1
97,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-01-14_1
98,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2022-01-14_1
99,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2022-01-14_1
100,Pabay_14_1_22_1,1,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2022-01-14_1
101,Pabay_14_1_22_2,2,Pabay ,Alaria,14/01/2022,14,1,2022,14/01/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-01-14_2
102,Pabay_14_1_22_2,2,Pabay ,Alaria,14/01/2022,14,1,2022,14/01/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-01-14_2
103,Pabay_14_1_22_2,2,Pabay ,Alaria,14/01/2022,14,1,2022,14/01/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-01-14_2
104,Pabay_14_1_22_2,2,Pabay ,Alaria,14/01/2022,14,1,2022,14/01/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-01-14_2
105,Pabay_14_1_22_2,2,Pabay ,Alaria,14/01/2022,14,1,2022,14/01/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-01-14_2
106,Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,14/01/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2022-01-14_2
107,Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,14/01/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2022-01-14_2
108,Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,14/01/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2022-01-14_2
109,Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,14/01/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2022-01-14_2
110,Pabay_14_1_22_2,2,Pabay ,Saccharina,14/01/2022,14,1,2022,14/01/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2022-01-14_2
111,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-01-14_3
112,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-01-14_3
113,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-01-14_3
114,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-01-14_3
115,Pabay_14_1_22_3,3,Pabay,Alaria,14/01/2022,14,1,2022,14/01/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-01-14_3
116,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2022-01-14_3
117,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2022-01-14_3
118,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2022-01-14_3
119,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2022-01-14_3
120,Pabay_14_1_22_3,3,Pabay,Saccharina,14/01/2022,14,1,2022,14/01/2022,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2022-01-14_3
121,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2021-06-15_1
122,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2021-06-15_1
123,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2021-06-15_1
124,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2021-06-15_1
125,Pabay_15_6_21_1,1,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2021-06-15_1
126,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2021-06-15_1
127,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2021-06-15_1
128,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,1,2021-06-15_1
129,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,1,2021-06-15_1
130,Pabay_15_6_21_1,1,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,1,2021-06-15_1
131,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2021-06-15_2
132,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2021-06-15_2
133,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2021-06-15_2
134,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2021-06-15_2
135,Pabay_15_6_21_2,2,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2021-06-15_2
136,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,2,2021-06-15_2
137,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,2,2021-06-15_2
138,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,2,2021-06-15_2
139,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,2,2021-06-15_2
140,Pabay_15_6_21_2,2,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,2,2021-06-15_2
141,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2021-06-15_3
142,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2021-06-15_3
143,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2021-06-15_3
144,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2021-06-15_3
145,Pabay_15_6_21_3,3,Pabay,Saccharina,15/06/2021,15,6,2021,15/06/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2021-06-15_3
146,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,3,2021-06-15_3
147,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,3,2021-06-15_3
148,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,pecten_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Pecten Blade Ab - Ala,3,2021-06-15_3
149,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,scallop_brown_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Scallop Blade Ab - Ala,3,2021-06-15_3
150,Pabay_15_6_21_3,3,Pabay,Alaria,15/06/2021,15,6,2021,15/06/2021,bivalve_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Bivalvia Blade Ab - Ala,3,2021-06-15_3
151,Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,15/07/2022,mytilus_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Mytilus Blade Ab - Ala,1,2022-07-15_1
152,Pabay_15_7_22_1,1,Pabay,Alaria,15/07/2022,15,7,2022,15/07/2022,ostrea_ala_p_cm,NA,blade,Blade Abundance – Alaria (ind/cm²),Ostrea Blade Ab - Ala,1,2022-07-15_1
