Blade Observer,sample no,Epibiont observer,Analysis by Sofie,Analysis by Eleni,Photo links,Analysis time by Sofie,blade foto,Segment,Seaweed species,Notes on blades,Extra data,Site,replicate,merged_replicate,part_replicate,Date,Day,Month,Year,epibiont notes,blade_area,total_area,for_standardizing,percent_blade_Hydrozoans,percent_blade_bryozoans,percent_blade_tufts,mussel juveniles,percent_epiphytes,percent_brown_blotches,percent_Hydrozoans,percent_Bryozoans,Tufts_cm2,Total_Amphipoda,Total_Bivalvia,Total_Copepoda,Total_Gasteropoda,Total_Isopoda,Total_Nemerta,POLYCHAETA_tot,Halacaridae,Arthropod,Amphipod,Caprellidae,Gammaridae,Jassa,Annelida_tube,Asteroidea ,Bivalve ,Cerastoderma,Mytilus,Ostrea,Pecten,Scallop_Brown,Scallop_Pink,Cirripedia,Copepod,Harpacticoida,Corophium,Cumacea,Cancer_pagurus,Brachyura,Dendronotidae,Echinoidea ,Calcareous,Euphausiacea,Gastropod,Gibbula,Lacuna,Rissoa,Patella,Isopod,Idoteidae,Janiridae,Isopod_larvae,Zoea_larva ,Mysid,Nemertea,Cephalothrix,Haplonemertea,Oligochaeta_Nereididae,Ostracoda,Polychaeta_larvae,Phyllodocida,Polycheate_tube,Foraminifer,Sponge,Ascidiacea,Trichodesmium,Diatoms,Licmophora,Striatella,Filamentous green algae,Fillamentous Algae,Fucus ,Hydroid,Campanulariidae,Obelia,Bryozoans,Membraniporidae,Electra_pilosa,Kelp ,Laminaria_digitata,Macroalga_sporangio,Macroalgae,Red algae,Ceramidae,Codium,Sacharina,Sacharina_latissima
Sofie,58,Victoria,09/11/2022,,,,,base,Saccharina,clean,,Pabay,3,,2,22/05/2022,22,5,2022,,,575,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,59,Victoria,09/11/2022,,,,,tip,Saccharina,10% hydrozoans otherwise clean,,Pabay,3,,3,22/05/2022,22,5,2022,,,726,,,,,,,,10,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,60,Victoria,10/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-10+13.08.11.jpg,13:07,,all,Saccharina,covered in hydroids at the tip,"different generation, do not use for growth estimation",Pabay,2,,,29/06/2022,29,6,2022,,480,480,480,30,0,,,,,30,,,45,0,88,2,0,0,0,,,29,,2,14,,,,,,,,,,,1,87,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,61,Victoria,10/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-10+13.34.47.jpg,13:24,,tip,Saccharina,"covered by hydrozoids in the tip, 170 amphipods, 7 snails, caprella=2","different generation, do not use for growth estimation",Pabay,3,,,29/06/2022,29,6,2022,,,344,344,,,,,,,85,,,397,14,104,11,0,1,0,,,264,4,1,128,,,,,4,10,,,,,,104,,,,,1,,,,,,3,8,,,,,,,,1,,,,,,,,1,,,,rare,,,,present,,,,,,,,,,,,,,,,
Sofie,62,Victoria,10/11/2022,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=2022-11-10+13.59.08.jpg,13:58,,tip,Saccharina,covered in hydrozoans,"different generation, do not use for growth estimation",Pabay,1,,1,29/06/2022,29,6,2022,"part 1,2, 3 merged",955,399,955,37.88481675,0,,,,,90,,,173,16,300,24,4,2,0,,,107,11,4,51,,,1,,3,12,,,,,,300,,1,,,3,,,1,,,13,11,,3,1,,,,,,2,,,,,,,,,,,rare,,,,rare,,,,,,,,,,,,,,,,
Sofie,63,Victoria,10/11/2022,,,,,middle,Saccharina,3 snails,"different generation, do not use for growth estimation",Pabay,1,,2,29/06/2022,29,6,2022,,,270,,,,,,,,1,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,64,Victoria,10/11/2022,,,,,base,Saccharina,3 snails and 1 amphipod,"different generation, do not use for growth estimation",Pabay,1,,3,29/06/2022,29,6,2022,,,286,,,,,,,,0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,65,Victoria,12/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230112_095107530.PORTRAIT.jpg,09:50,,base,Saccharina,"clear, 50 amphipods","different generation, do not use for growth estimation",Pabay,1,,1,15/07/2022,15,7,2022,,718,256,256,27.02506964,0,,,0,2,0,,,272,4,37,0,4,0,0,1,,210,,16,46,,,2,,2,,,,,,,37,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,
Sofie,66,Victoria,13/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230113_095248521.jpg,09:52,,tip,Saccharina,many amphipods,"different generation, do not use for growth estimation",Pabay,1,,2,15/07/2022,15,7,2022,,,210,210,,,,,,,90,,,7350,1035,815,45,0,0,0,,,310,30,3605,3405,,4,880,,150,,5,,,,120,695,,,,,,20,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,rare,rare,,,,,,,,,
Sofie,67,Victoria,13/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230113_100733190.jpg,10:06,,middle,Saccharina,clean but many amphipods,"different generation, do not use for growth estimation",Pabay,1,,3,15/07/2022,15,7,2022,,,252,252,,,,,,2,2,,,2692,128,140,8,8,0,0,,,2204,,16,472,,,12,,100,16,,,,,,140,,,,,,4,,,,,8,,,,,8,,,,,,,,,,,,16,,present,,,,,,,,,,rare,,,,,,,,,,,,
Sofie,68,Victoria,13/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230113_101351861.jpg,10:13,,base,Saccharina,clean,"different generation, do not use for growth estimation",Pabay,2,,1,15/07/2022,15,7,2022,,633,243,243,36.01895735,4.028436019,,,,2,0,0,,23,0,7,0,0,0,0,1,,13,,3,7,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,rare,,,,,,,,,,,,,,,,,
Sofie,69,Victoria,13/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230113_102206171.jpg,10:21,,tip,Saccharina,covered in hydrozoans,"different generation, do not use for growth estimation",Pabay,2,,2,15/07/2022,15,7,2022,,,120,120,,,,,,,100,10,,428,162,221,52,4,0,5,,,326,19,2,81,,,5,,157,,,,,,3,218,,,,,,,,,,,52,,,,1,2,1,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,70,Victoria,13/01/2023,,"https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230113_102317630.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230113_102844466.jpg",10:26,,middle,Saccharina,some hydrozoans and bryozoans,"different generation, do not use for growth estimation",Pabay,2,,3,15/07/2022,15,7,2022,,,270,270,,,,,,,40,5,,126,33,35,5,8,0,0,,,92,5,,29,,,,,33,,,,,,1,34,,,,,,,,,,,5,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,71,Victoria,12/01/2023,,,,,base,Saccharina,"clear and 5% blotches, 52 amphipods","different generation, do not use for growth estimation",Pabay,3,,1,15/07/2022,15,7,2022,,394,184,184,43.10659898,0,,,0,5,1,,,116,13,24,0,0,0,0,,,37,1,7,71,,,,,13,,,,,,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,rare,,,,,present,,,,,,present,,,,,,,,,,
Sofie,72,Victoria,12/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230112_101920366.jpg,10:19,,tip,Saccharina,"caprella=7, amphipods=71 big","different generation, do not use for growth estimation",Pabay,3,,2,15/07/2022,15,7,2022,,,125,125,,,,,5,,80,,,343,280,201,38,2,2,1,,,224,16,7,96,,,4,,275,,1,,,,1,200,,,,,,,,,,,38,,,,1,,1,1,,2,,,,,1,,,4,,,,rare,,,numerous,,,,,,,,,,,,,rare,,,,
Sofie,73,Victoria,12/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230112_105121182.jpg,10:51,,middle,Saccharina,,"different generation, do not use for growth estimation",Pabay,3,,3,15/07/2022,15,7,2022,,,85,85,,,,,2,,80,,,282,281,180,23,0,0,0,,,186,10,,86,,,4,,272,1,4,,,,,180,,,,,,,,,,,23,,,,,,,,,,,,,,,,,5,,,,,,,,rare,,,,,,,,,,,,,numerous,,,
Sofie,74,Victoria,16/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_103440069.jpg,10:35,,base,Saccharina,,"different generation, do not use for growth estimation",Pabay,3,,2,30/07/2022,30,7,2022,,964,403,403,2.982365145,91.63900415,,,,5,0,80,,125,33,25,5,1,0,1,,,87,,,38,,,11,,21,,,1,,,,25,,,,,,,,,,,4,1,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Sofie,75,Victoria,16/01/2023,,"https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_110007482.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_111707063.MP.jpg",11:01,,tip,Saccharina,settlement of mussels at top tip of blade,"different generation, do not use for growth estimation",Pabay,3,,1,30/07/2022,30,7,2022,,,561,561,,,,800,,,0,100,,2133,1847,226,48,0,0,5,,,830,18,257,1028,,,228,,1561,,28,30,,,1,225,,,,,,,,,,,48,,,,,,,,,,,,,,5,,,,,,rare,,,,,rare,,,,,,rare,rare,,,,,,,,,
Sofie,76,Victoria,16/01/2023,,"https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_113829299.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_103523634.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_113858555.jpg",11:37,,middle,Saccharina,pecten larvae ,"different generation, do not use for growth estimation",Pabay,1,,2,30/07/2022,30,7,2022,,1763,575,575,4.319342031,55.20703347,,,,,5,50,,1720,8196,180,336,4,0,28,,,768,156,256,540,,,5688,,1600,,572,336,,,56,124,,,,,,,,,,,84,252,48,,4,,,,,,,,,,28,,,24,,,,,,,rare,rare,,numerous,,,,,,,,,,,,,,
Sofie,77,Victoria,16/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_115401244.jpg,11:53,,tip,Saccharina,bivalves,"different generation, do not use for growth estimation",Pabay,1,,1,30/07/2022,30,7,2022,,,588,588,,,,,,,5,35,,1872,12136,216,1344,0,0,16,,,856,72,80,864,,8,8368,16,2608,128,520,480,16,,,216,,,,,,24,,,,,1272,72,,,,,,,,,,,,,8,8,,40,,8,,,,,,,,,,,,numerous,rare,,,,,rare,,,,
Sofie,78,Victoria,16/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230116_120531457.jpg,12:05,,middle,Saccharina,,"different generation, do not use for growth estimation",Pabay,1,,3,30/07/2022,30,7,2022,,,600,600,,,,,,,3,80,,652,1612,8,44,0,0,8,,,224,92,68,268,,,1040,,228,8,112,224,,,8,,28,,,,,,,,8,,32,4,16,,,,,,8,,,,,,,4,4,,,,,,numerous,,,rare,,,present,numerous,,numerous,present,rare,,,,,rare,,,
Sofie,79,Victoria,17/01/2023,,"https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230117_103947424.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230117_104106201.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230117_104155182.PORTRAIT.jpgpreview=PXL_20230117_104054377.jpg,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230117_104203457.PORTRAIT.jpg ",10:39,,tip,Saccharina,hydrozoans and mussels at the very tip,"different generation, do not use for growth estimation",Pabay,2,,1,30/07/2022,30,7,2022,,748,280,280,3.743315508,61.38368984,,,,,10,60,,2152,1240,352,32,0,4,12,,,1360,8,12,772,,,252,,968,,16,4,,,,352,,,,4,,,,,,,32,,,,,,,,,4,,,,,,12,,16,,,,,,,,present,,,,,,,,,,,,,,,,
Sofie,80,Victoria,17/01/2023,,"https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230117_105137172.jpg, https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230117_105142250.jpg",10:51,,middle,Saccharina,,"different generation, do not use for growth estimation",Pabay,2,,2,30/07/2022,30,7,2022,,,189,189,,,,,,,0,95,,118,24,17,5,0,0,0,1,,78,,,40,,,13,,10,,1,,,,,17,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,
Sofie,81,Victoria,17/01/2023,,https://www.dropbox.com/home/eDNA_planktonic%20threats/Seaweed_eDNA_Project/seaweed%20fotos?preview=PXL_20230117_105942217.jpg,10:59,,base,Saccharina,,"different generation, do not use for growth estimation",Pabay,2,,3,30/07/2022,30,7,2022,,,279,279,,,,,,,0,40,,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
