"","age","biofouling_removed_14_5_25.x","biofouling_removed_14_5_25.y","blade_length_in_experiment","blade_length_pre_experiment.x","blade_length_pre_experiment.y","blade_side","blade_zone","bryozoan_colony_area","bryozoan_colony_length_max","date.x","date.y","epibiont_sampling","hydrozoan_counts","initial_tank.x","initial_tank.y","main_experiment_tank.x","main_experiment_tank.y","no_blades","no_young_blades_per_rock","notes","nutrient_treatment.x","nutrient_treatment.y","nutrient_treatment_tank.x","nutrient_treatment_tank.y","origin.x","origin.y","origin_kelp.x","origin_kelp.y","rank","rank_of_blade_on_rock","rock_no","rock_number.x","rock_number.y","seaweed_id","species","spirobranchus_counts","swab_after_enrichment_16_5","swab_after_ernichment_16_5","swab_prior_enrichment.x","swab_prior_enrichment.y","tag_color.x","tag_color.y","tag_colour","tag_no_x","tag_no_y","tank","turbulence.x","turbulence.y"
"210","old",NA,"glasg","",NA,130,"y","tip",0.130899694,"0.5",NA,"27_4_2025","12/06/2025","",NA,3,NA,6,NA,NA,"id changed post-sampling",NA,"C",NA,7,NA,"Adult_local",NA,"FSC slip",42,NA,NA,NA,NA,"AW14","Pilosa",NA,NA,149,NA,3,NA,"White","white","14",14,NA,NA,"High"
"211","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","base",NA,"",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",43,NA,NA,NA,NA,"AB17","",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"212","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",NA,NA,NA,"12_5_2025","04/06/2025","4",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"213","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.130899694,"0.5",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",44,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"214","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.196349541,"0.5",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",45,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"215","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.070685835,"0.3",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",46,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"216","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.031415927,"0.2",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",47,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"217","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","tip",NA,"",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Spirobranchus",2,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"218","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","tip",NA,NA,NA,"12_5_2025","04/06/2025","3",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"219","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","tip",0.130899694,"0.5",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",48,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"220","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",0.083775804,"0.4",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",49,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"221","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.196349541,"0.5",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",50,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"222","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.070685835,"0.3",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",51,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"223","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.031415927,"0.2",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",52,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"224","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.523598776,"1",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",53,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"225","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",NA,"",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Spirobranchus",1,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"226","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",NA,NA,NA,"12_5_2025","04/06/2025","5",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"227","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.130899694,"0.5",NA,"12_5_2025","04/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",54,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"228","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","base",NA,"",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",55,NA,NA,NA,NA,"AB17","",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"229","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",NA,NA,NA,"12_5_2025","12/06/2025","1",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"230","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.335103216,"0.8",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",56,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"231","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.785398163,"1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",57,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"232","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",58,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"233","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",59,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"234","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",60,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"235","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.031415927,"0.2",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",61,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"236","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",62,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"237","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",63,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"238","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",64,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"239","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","tip",NA,NA,NA,"12_5_2025","12/06/2025","2",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"240","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","tip",0.753982237,"1.2",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",65,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"241","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","tip",0.070685835,"0.3",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",66,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"242","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",NA,NA,NA,"12_5_2025","12/06/2025","6",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",67,NA,NA,NA,NA,"AB17","Obelia",2,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"243","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.070685835,"0.3",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",68,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"244","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.282743339,"0.6",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",69,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"245","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.523598776,"1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",70,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"246","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","middle",0.753982237,"1.2",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",71,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"247","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",NA,"",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Spirobranchus",1,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"248","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",NA,NA,NA,"12_5_2025","12/06/2025","10",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",NA,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"249","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.523598776,"1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",72,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"250","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.753982237,"1.2",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",73,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"251","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.523598776,"1",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",74,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"252","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.070685835,"0.3",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",75,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"253","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.031415927,"0.2",NA,"12_5_2025","12/06/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",76,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"254","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","base",NA,"",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",77,NA,NA,NA,NA,"AB17","",9,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"255","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.196349541,"0.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",78,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"256","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.196349541,"0.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",79,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"257","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",80,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"258","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.007853982,"0.1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",81,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"259","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.196349541,"0.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",82,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"260","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.523598776,"1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",83,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"261","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",2.094395102,"2",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",84,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"262","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.523598776,"1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",85,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"263","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",0.130899694,"0.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",86,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"264","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",NA,"",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",87,NA,NA,NA,NA,"AB17","",6,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"265","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"x","middle",NA,NA,NA,"12_5_2025","02/07/2025","3",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",88,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"266","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",1.767145868,"1.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",89,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"267","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",0.007853982,"0.1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",90,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"268","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",0.007853982,"0.1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",91,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"269","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",0.007853982,"0.1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",92,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"270","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",0.031415927,"0.2",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",93,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"271","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",0.007853982,"0.1",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",94,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"272","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",NA,"",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",95,NA,NA,NA,NA,"AB17","",12,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"273","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","base",NA,NA,NA,"12_5_2025","02/07/2025","9",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",96,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"274","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",3.141592654,"2",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",97,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"275","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.125663706,"0.4",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",98,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"276","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",0.196349541,"0.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",99,NA,NA,NA,NA,"AB17","Membranipora",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"277","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",1.178097245,"1.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",100,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"278","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",1.178097245,"1.5",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",101,NA,NA,NA,NA,"AB17","Pilosa",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"279","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",NA,"",NA,"12_5_2025","02/07/2025","",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",102,NA,NA,NA,NA,"AB17","",8,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"280","old",NA,"hydro=112;bryo=8;maerl2","",NA,190,"y","tip",NA,NA,NA,"12_5_2025","02/07/2025","6",NA,NA,NA,6,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",103,NA,NA,NA,NA,"AB17","Obelia",NA,NA,112,NA,49,NA,"Blue","blue","17",17,NA,NA,"High"
"281","old",NA,"hydro=6;bryo=1","",NA,120,"x","base",NA,"",NA,"12_5_2025","04/06/2025","",NA,NA,NA,4,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",104,NA,NA,NA,NA,"AB18","",NA,NA,115,NA,50,NA,"Blue","blue","18",18,NA,NA,"High"
"282","old",NA,"hydro=6;bryo=1","",NA,120,"x","middle",0.785398163,"1",NA,"12_5_2025","04/06/2025","",NA,NA,NA,4,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",105,NA,NA,NA,NA,"AB18","Membranipora",NA,NA,115,NA,50,NA,"Blue","blue","18",18,NA,NA,"High"
"283","old",NA,"hydro=6;bryo=1","",NA,120,"x","middle",0.070685835,"0.3",NA,"12_5_2025","04/06/2025","",NA,NA,NA,4,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",106,NA,NA,NA,NA,"AB18","Membranipora",NA,NA,115,NA,50,NA,"Blue","blue","18",18,NA,NA,"High"
"284","old",NA,"hydro=6;bryo=1","",NA,120,"x","middle",0.070685835,"0.3",NA,"12_5_2025","04/06/2025","",NA,NA,NA,4,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",107,NA,NA,NA,NA,"AB18","Membranipora",NA,NA,115,NA,50,NA,"Blue","blue","18",18,NA,NA,"High"
"285","old",NA,"hydro=6;bryo=1","",NA,120,"x","tip",NA,"",NA,"12_5_2025","04/06/2025","",NA,NA,NA,4,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",108,NA,NA,NA,NA,"AB18","",NA,NA,115,NA,50,NA,"Blue","blue","18",18,NA,NA,"High"
"286","old",NA,"hydro=6;bryo=1","",NA,120,"y","base",NA,"",NA,"12_5_2025","04/06/2025","",NA,NA,NA,4,NA,NA,"",NA,"N",NA,7,NA,"Adult_local",NA,"farland",109,NA,NA,NA,NA,"AB18","",NA,NA,115,NA,50,NA,"Blue","blue","18",18,NA,NA,"High"
