rank,tank,origin,tag_no_y,rock_number,date,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,tag_no_x,tag_colour,tag_color,origin_kelp,biofouling_removed_14_5_25,seaweed_id,rock_no,age,epibiont_sampling,blade_length_pre_experiment,blade_length_in_experiment,notes,blade_side,blade_zone,rank_of_blade_on_rock,no_young_blades_per_rock,species,bryozoan_colony_length_max,bryozoan_colony_area,hydrozoan_counts,spirobranchus_counts,swab_prior_enrichment,swab_after_ernichment_16_5
,,Adult_local,44,,13_5_2025,,3,4,High,C,120notag,,Green,FSC slip,some sils,AG44,NA,old,12/06/2025,140,,,y,tip,,,Spirobranchus,,,,1,76,146
,,Adult_local,44,,13_5_2025,,3,4,High,C,120notag,,Green,FSC slip,some sils,AG44,NA,old,12/06/2025,140,,,y,tip,,,Obelia,NA,NA,1,,76,146
808,4,Adult_local,44,,13_5_2025,,3,4,High,C,120notag,,Green,FSC slip,some sils,AG44,NA,old,12/06/2025,140,,tag detached,y,tip,NA,,Pilosa,1,0.523598776,,,76,146
809,4,Adult_local,44,,13_5_2025,,3,4,High,C,120notag,,Green,FSC slip,some sils,AG44,NA,old,12/06/2025,140,,tag detached,y,tip,NA,,Pilosa,0.8,0.335103216,,,76,146
810,4,Adult_local,44,,13_5_2025,,3,4,High,C,120notag,,Green,FSC slip,some sils,AG44,NA,old,12/06/2025,140,,tag detached,y,tip,NA,,Membranipora,0.2,0.031415927,,,76,146
811,4,Adult_local,44,,13_5_2025,,3,4,High,C,120notag,,Green,FSC slip,some sils,AG44,NA,old,12/06/2025,140,,tag detached,y,tip,NA,,Membranipora,0.3,0.070685835,,,76,146
812,4,Adult_local,44,,13_5_2025,,3,4,High,C,120notag,,Green,FSC slip,some sils,AG44,NA,old,12/06/2025,140,,tag detached,y,tip,NA,,Membranipora,0.3,0.070685835,,,76,146
1333,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,base,NA,,,,NA,,,21,124
1334,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,base,NA,,Membranipora,0.2,0.031415927,,,21,124
1335,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,base,NA,,Membranipora,1,0.785398163,,,21,124
1336,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,middle,NA,,Membranipora,1,0.785398163,,,21,124
1337,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,middle,NA,,Pilosa,1,0.523598776,,,21,124
1338,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,middle,NA,,Pilosa,0.5,0.130899694,,,21,124
,,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,,x,tip,,,Spirobranchus,,,,1,21,124
,,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,,x,tip,,,Obelia,NA,NA,3,,21,124
1339,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,tip,NA,,Pilosa,1.5,1.178097245,,,21,124
1340,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,tip,NA,,Pilosa,1,0.523598776,,,21,124
448,,Adult_local,3,,27_4_2025,1,2,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,base,NA,,,,NA,,,62,134
,,Adult_local,3,,27_4_2025,1,2,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,middle,,,Obelia,NA,NA,1,,62,134
449,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,middle,NA,,Membranipora,0.5,0.196349541,,,62,134
450,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,middle,NA,,Membranipora,0.3,0.070685835,,,62,134
451,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,middle,NA,,Membranipora,0.3,0.070685835,,,62,134
452,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,middle,NA,,Pilosa,0.5,0.130899694,,,62,134
453,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,middle,NA,,Pilosa,0.3,0.04712389,,,62,134
454,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,middle,NA,,Membranipora,0.4,0.125663706,,,62,134
455,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,tip,NA,,Pilosa,0.1,0.005235988,,,62,134
456,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,tip,NA,,Pilosa,0.2,0.020943951,,,62,134
457,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,x,tip,NA,,Membranipora,0.2,0.031415927,,,62,134
458,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,base,NA,,,,NA,,,62,134
,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,middle,,,Obelia,NA,NA,1,,62,134
459,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,middle,NA,,Membranipora,1,0.785398163,,,62,134
460,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,middle,NA,,Membranipora,0.4,0.125663706,,,62,134
461,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,middle,NA,,Membranipora,0.3,0.070685835,,,62,134
462,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,middle,NA,,Membranipora,0.2,0.031415927,,,62,134
,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,tip,,,Obelia,NA,NA,4,,62,134
463,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,04/06/2025,200,,,y,tip,NA,,Pilosa,1,0.523598776,,,62,134
1341,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,x,tip,NA,,Pilosa,1.3,0.884881931,,,21,124
1342,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,y,base,NA,,,,NA,,,21,124
1343,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,y,middle,NA,,Membranipora,0.2,0.031415927,,,21,124
1344,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,y,middle,NA,,Membranipora,0.3,0.070685835,,,21,124
1345,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,y,tip,NA,,Membranipora,1.5,1.767145868,,,21,124
1346,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,y,tip,NA,,Membranipora,1,0.785398163,,,21,124
1347,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,y,tip,NA,,Membranipora,1.5,1.767145868,,,21,124
1348,3,Adult_local,3,,27_4_2025,1,2,4,High,P,120notag,,White,FSC slip,,AW3,NA,old,04/06/2025,162,,tag detached,y,tip,NA,,Membranipora,1,0.785398163,,,21,124
647,3,Adult_local,37,,12_5_2025,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,x,base,NA,,Membranipora,0.3,0.070685835,,1,69,154
648,3,Adult_local,38,,12_5_2026,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,x,middle,NA,,Membranipora,0.3,0.070685835,,4,69,154
649,3,Adult_local,39,,12_5_2027,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,x,middle,NA,,Membranipora,0.3,0.070685835,,,69,154
,,Adult_local,40,,12_5_2028,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,,x,tip,,,Obelia,NA,NA,2,,69,154
650,3,Adult_local,41,,12_5_2029,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,x,tip,NA,,Membranipora,0.5,0.196349541,,,69,154
651,3,Adult_local,42,,12_5_2030,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,x,tip,NA,,Pilosa,0.8,0.335103216,,,69,154
652,3,Adult_local,43,,12_5_2031,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,x,tip,NA,,Membranipora,0.4,0.125663706,,,69,154
653,3,Adult_local,44,,12_5_2032,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,y,base,NA,,Membranipora,0.3,0.070685835,,2,69,154
654,3,Adult_local,45,,12_5_2033,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,1 x epiphyte,y,middle,NA,,Membranipora,0.3,0.070685835,,4,69,154
655,3,Adult_local,46,,12_5_2034,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,y,middle,NA,,Membranipora,0.3,0.070685835,,,69,154
,,Adult_local,47,,12_5_2035,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,,y,tip,,,Obelia,NA,NA,1,,69,154
,,Adult_local,48,,12_5_2036,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,,y,tip,,,Spirobranchus,,,,1,69,154
656,3,Adult_local,37,,12_5_2025,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,y,tip,NA,,Membranipora,0.6,0.282743339,,,69,154
657,3,Adult_local,37,,12_5_2025,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,y,tip,NA,,Pilosa,0.8,0.335103216,,,69,154
658,3,Adult_local,37,,12_5_2025,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,y,tip,NA,,Membranipora,0.4,0.125663706,,,69,154
659,3,Adult_local,37,,12_5_2025,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,y,tip,NA,,Membranipora,0.4,0.125663706,,,69,154
660,3,Adult_local,37,,12_5_2025,,7,3,Low,C,123notag,,Green,farland,bryo=14;hydro11;maerl=4;sil=1,AG37,NA,old,12/06/2025,200,,tag detached,y,tip,NA,,Membranipora,0.5,0.196349541,,,69,154
1590,,Kilchoan_young,,1,12_5_2025,5,1,7,Low,N,,orange_yellow,Orange_yellow,marivate_kilchoan,,YO01,1,young,04/06/2025,43,18,,,,1,1,Membranipora,1,0.785398163,,,39,163
492,,Adult_local,30,,12_5_2025,,6,4,High,P,yt,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,x,base,NA,,,,NA,,5,62,134
493,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,no tip,x,base,NA,,Obelia,NA,NA,15,,62,134
494,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,x,middle,NA,,Membranipora,0.1,0.007853982,,,62,134
495,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,x,middle,NA,,Membranipora,2,3.141592654,,,62,134
496,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,x,middle,NA,,Membranipora,1.5,1.767145868,,,62,134
497,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,x,middle,NA,,,,NA,,6,62,134
498,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,base,NA,,Membranipora,0.1,0.007853982,,,62,134
499,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,base,NA,,Membranipora,0.2,0.031415927,,,62,134
500,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,base,NA,,Membranipora,0.1,0.007853982,,,62,134
501,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,base,NA,,,0.2,NA,,,62,134
502,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,,,NA,,9,62,134
503,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,Membranipora,2.5,4.908738521,,,62,134
504,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,Membranipora,0.1,0.007853982,,,62,134
505,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,Membranipora,0.1,0.007853982,,,62,134
506,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,Membranipora,0.2,0.031415927,,,62,134
507,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,Membranipora,1,0.785398163,,,62,134
508,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,Pilosa,1.4,1.0262536,,,62,134
509,,Adult_local,30,,12_5_2025,,6,4,High,P,30,blue,Blue,farland,bryo=11;hydro=37,AB30,NA,old,02/07/2025,200,,,y,middle,NA,,,,NA,,9,62,134
510,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,x,base,NA,,,,NA,,,63,152
511,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,x,middle,NA,,Membranipora,0.8,0.502654825,,,63,152
512,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,x,middle,NA,,Membranipora,0.5,0.196349541,,,63,152
,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,x,tip,,,Obelia,NA,NA,10,,63,152
513,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,x,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
514,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,x,tip,NA,,Membranipora,0.4,0.125663706,,,63,152
515,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,x,tip,NA,,Pilosa,0.5,0.130899694,,,63,152
516,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,base,NA,,,,NA,,,63,152
517,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,middle,NA,,,,NA,,,63,152
,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,tip,,,Obelia,NA,NA,4,,63,152
518,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,tip,NA,,Pilosa,0.4,0.083775804,,,63,152
519,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,tip,NA,,Membranipora,0.4,0.125663706,,,63,152
520,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,tip,NA,,Membranipora,0.5,0.196349541,,,63,152
521,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
522,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,04/06/2025,240,,,y,tip,NA,,Membranipora,0.2,0.031415927,,,63,152
523,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,base,NA,,,,NA,,,63,152
524,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Pilosa,1,0.523598776,,3,63,152
525,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Pilosa,0.5,0.130899694,,,63,152
526,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Pilosa,1.2,0.753982237,,,63,152
527,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Membranipora,0.4,0.125663706,,,63,152
528,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Membranipora,0.4,0.125663706,,,63,152
529,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Membranipora,0.4,0.125663706,,,63,152
530,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Membranipora,0.3,0.070685835,,,63,152
531,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Membranipora,0.4,0.125663706,,,63,152
532,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Membranipora,0.2,0.031415927,,,63,152
533,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,middle,NA,,Membranipora,0.5,0.196349541,,,63,152
534,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,tip,NA,,Pilosa,1,0.523598776,,,63,152
535,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,tip,NA,,Membranipora,0.2,0.031415927,,,63,152
536,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,tip,NA,,Membranipora,0.2,0.031415927,,,63,152
537,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
538,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,tip,NA,,Membranipora,0.6,0.282743339,,,63,152
539,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,x,tip,NA,,Membranipora,0.8,0.502654825,,,63,152
540,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,base,NA,,,,NA,,4,63,152
,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,middle,,,Obelia,NA,NA,4,,63,152
541,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,middle,NA,,Pilosa,1.8,1.696460033,,,63,152
542,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,middle,NA,,Membranipora,0.3,0.070685835,,,63,152
,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,,,Obelia,NA,NA,20,,63,152
543,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.5,0.196349541,,,63,152
544,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
545,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.5,0.196349541,,,63,152
546,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
547,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
548,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
549,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
550,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,12/06/2025,240,,,y,tip,NA,,Membranipora,0.3,0.070685835,,,63,152
551,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,02/07/2025,240,,,x,base,NA,,Membranipora,0.2,0.031415927,,,63,152
552,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,02/07/2025,240,,,x,base,NA,,Membranipora,0.1,0.007853982,,,63,152
553,,Adult_local,31,,12_5_2025,,7,3,Low,C,31,blue,Blue,farland,"bryo=29;hydro=74,blueRay_limpet=1",AB31,NA,old,02/07/2025,240,,,x,base,NA,,Membranipora,0.1,0.007853982,,,63,152
