Site,Date,Species,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Family,Genus,Abundance
Pabay ,14_1_2022,Tubificoides benedii,,,,,,,,,,0
Pabay ,14_1_2022,Paracalanus parvus.2,,,,,,,,,,0
Pabay ,14_1_2022,Harpacticus flexus.1,,,,,,,,,,0
Pabay ,14_1_2022,Paracalanus parvus.3,,,,,,,,,,0
Pabay ,14_1_2022,Paracalanus parvus.4,,,,,,,,,,0
Pabay ,14_1_2022,Centropages hamatus,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Calanoida,Centropagidae,Centropages,0
Pabay ,14_1_2022,Paracalanus parvus.5,,,,,,,,,,0
Pabay ,14_1_2022,Paracalanus parvus.6,,,,,,,,,,0
Pabay ,14_1_2022,Paracalanus parvus.7,,,,,,,,,,0
Pabay ,14_1_2022,Temora sp..5,,,,,,,,,,0
Pabay ,14_1_2022,Temora sp..6,,,,,,,,,,0
Pabay ,14_1_2022,Hormogaster redii,,,,,,,,,,0
Pabay ,14_1_2022,Temora sp..7,,,,,,,,,,0
Pabay ,14_1_2022,Paraeuchaeta sp. KJ753,,,,,,,,,,0
Pabay ,14_1_2022,Jassa herdmani,,,,,,,,,,0
Pabay ,14_1_2022,Jassa herdmani.1,,,,,,,,,,0
Pabay ,14_1_2022,Jassa herdmani.2,,,,,,,,,,0
Pabay ,14_1_2022,Jassa herdmani.3,,,,,,,,,,0
Pabay ,14_1_2022,Jassa herdmani.4,,,,,,,,,,0
Pabay ,14_1_2022,Jassa herdmani.5,,,,,,,,,,0
Pabay ,14_1_2022,Niphargus arbiter,,,,,,,,,,0
Pabay ,14_1_2022,Jassa herdmani.6,,,,,,,,,,0
Pabay ,14_1_2022,Enchytraeus doerjesi,,,,,,,,,,0
Pabay ,14_1_2022,Aora gracilis,,,,,,,,,,0
Pabay ,14_1_2022,Caridea sp. LPdivOTU7,,,,,,,,,,0
Pabay ,14_1_2022,Pagurus longicarpus,,,,,,,,,,0
Pabay ,14_1_2022,Fujientomon dicestum,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Cirripedia,Sessilia,Archaeobalanidae,Semibalanus,0
Pabay ,14_1_2022,Balanus crenatus,,,,,,,,,,0
Pabay ,14_1_2022,Balanus balanus,,,,,,,,,,0
Pabay ,14_1_2022,Balanus crenatus.1,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.1,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.2,,,,,,,,,,0
Pabay ,14_1_2022,Enchytraeus albidus,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.3,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.4,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.5,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.6,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.7,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.8,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.9,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.10,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.11,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.12,,,,,,,,,,0
Pabay ,14_1_2022,Cernosvitoviella minor.1,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.13,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.14,,,,,,,,,,0
Pabay ,14_1_2022,Balanus crenatus.2,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.15,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.16,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.17,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.18,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.19,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.20,,,,,,,,,,0
Pabay ,14_1_2022,Semibalanus balanoides.21,,,,,,,,,,0
Pabay ,14_1_2022,Cernosvitoviella pusilla,,,,,,,,,,0
Pabay ,14_1_2022,Crustacea environmental sample,,,,,,,,,,0
Pabay ,14_1_2022,Celleporella hyalina,,,,,,,,,,0
Pabay ,14_1_2022,Electra pilosa,,,,,,,,,,0
Pabay ,14_1_2022,Electra pilosa.1,,,,,,,,,,0
Pabay ,14_1_2022,Celleporella hyalina.1,,,,,,,,,,0
Pabay ,14_1_2022,Electra pilosa.2,,,,,,,,,,0
Pabay ,14_1_2022,Electra pilosa.3,,,,,,,,,,0
Pabay ,14_1_2022,Parasagitta setosa,,,,,,,,,,0
Pabay ,14_1_2022,Chaetognatha environmental sample,,,,,,,,,,0
Pabay,14_1_2022,Hemiaulus sinensis,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Hemiaulales,Hemiaulaceae,Hemiaulus,0
Pabay,14_1_2022,Dimeregramma acutum,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Stauroneidaceae,Dimeregramma,0
Pabay,14_1_2022,Ditylum brightwellii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Lithodesmiales,Lithodesmiaceae,Ditylum,0
Pabay,14_1_2022,Ditylum brightwellii.1,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Stephanodiscaceae,Minutocellus,0
Pabay,14_1_2022,Lithodesmium intricatum,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Lithodesmiales,Lithodesmiaceae,Lithodesmium,0
Pabay,14_1_2022,Pinnularia subanglica,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Pinnulariaceae,Pinnularia,0
Pabay,14_1_2022,Minutocellus polymorphus.2,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium intricatum.1,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.3,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium undulatum,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Lithodesmiales,Lithodesmiaceae,Lithodesmium,0
Pabay,14_1_2022,Hemiaulus sinensis.1,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium intricatum.2,,,,,,,,,,0
Pabay,14_1_2022,Hemiaulus sinensis.2,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.4,,,,,,,,,,0
Pabay,14_1_2022,Ditylum brightwellii.2,,,,,,,,,,0
Pabay,14_1_2022,Emiliania huxleyi.1,,,,,,,,,,0
Pabay,14_1_2022,Chrysochromulina tobinii,Eukaryota,Haptophyta,,Prymnesiophyceae,,,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,0
Pabay,14_1_2022,Emiliania huxleyi.2,,,,,,,,,,0
Pabay,14_1_2022,Chrysochromulina tobinii.1,,,,,,,,,,0
Pabay,14_1_2022,Chrysochromulina sp. NIES-1333,Eukaryota,Haptophyta,,Prymnesiophyceae,,,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,0
Pabay,14_1_2022,Phaeocystis globosa,Eukaryota,Haptophyta,,Prymnesiophyceae,,,Phaeocystales,Phaeocystaceae,Phaeocystis,0
Pabay,14_1_2022,Phaeocystis globosa.1,,,,,,,,,,0
Pabay,14_1_2022,Phaeocystis globosa.2,,,,,,,,,,0
Pabay,14_1_2022,Phaeocystis antarctica,Eukaryota,Haptophyta,,Prymnesiophyceae,,,Phaeocystales,Phaeocystaceae,Phaeocystis,0
Pabay,14_1_2022,Phaeocystis globosa.3,,,,,,,,,,0
Pabay,14_1_2022,Chrysophyceae sp.,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sinomuralis,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sinomuralis.1,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sp. JBM19,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sp.,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sinomuralis.2,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sp..1,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sp..2,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sp..3,,,,,,,,,,0
Pabay,14_1_2022,Chaetoceros tenuissimus,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Chaetocerotales,Chaetocerotaceae,Chaetoceros,0
Pabay,14_1_2022,Dinobryon cylindricollarium,,,,,,,,,,0
Pabay,14_1_2022,Paraphysomonas sp.,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sinomuralis.3,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sp..4,,,,,,,,,,0
Pabay,14_1_2022,Pedospumella sp..5,,,,,,,,,,0
Pabay,14_1_2022,Guillardia theta,,,,,,,,,,0
Pabay,14_1_2022,Pseudochattonella verruculosa,,,,,,,,,,0
Pabay,14_1_2022,Octactis speculum,,,,,,,,,,0
Pabay,14_1_2022,Pseudochattonella farcimen,,,,,,,,,,0
Pabay,14_1_2022,Octactis speculum.1,,,,,,,,,,0
Pabay,14_1_2022,Guinardia delicatula,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Rhizosoleniales,Rhizosoleniaceae,Guinardia,0
Pabay,14_1_2022,Pseudochattonella farcimen.1,,,,,,,,,,0
Pabay,14_1_2022,Durinskia baltica,,,,,,,,,,0
Pabay,14_1_2022,uncultured Kareniaceae,,,,,,,,,,0
Pabay,14_1_2022,uncultured dinoflagellate,,,,,,,,,,0
Pabay,14_1_2022,uncultured Kareniaceae.1,,,,,,,,,,0
Pabay,14_1_2022,Microchloropsis salina,,,,,,,,,,0
Pabay,14_1_2022,Ministeria vibrans,,,,,,,,,,0
Pabay,14_1_2022,Guinardia delicatula.1,,,,,,,,,,0
Pabay,14_1_2022,Aureococcus anophagefferens,,,,,,,,,,0
Pabay,14_1_2022,Guinardia delicatula.2,,,,,,,,,,0
Pabay,14_1_2022,Skeletonema potamos,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0
Pabay,14_1_2022,Skeletonema marinoi,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0
Pabay,14_1_2022,Pleurosigma inscriptura,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Pleurosigmataceae,Pleurosigma,0
Pabay,14_1_2022,Cyclotella cryptica,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Stephanodiscaceae,Cyclotella,0
Pabay,14_1_2022,Chaetoceros socialis,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Chaetocerotales,Chaetocerotaceae,Chaetoceros,0
Pabay,14_1_2022,Chaetoceros tenuissimus.1,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira punctigera,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Thalassiosiraceae,Thalassiosira,0
Pabay,14_1_2022,Podosira stelligera,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Thalassiosiraceae,Podosira,0
Pabay,14_1_2022,Stephanodiscus cf. minutulus,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,0
Pabay,14_1_2022,Skeletonema menzelii.1,,,,,,,,,,0
Pabay,14_1_2022,Guinardia striata,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Rhizosoleniales,Rhizosoleniaceae,Guinardia,0
Pabay,14_1_2022,Guinardia delicatula.3,,,,,,,,,,0
Pabay,14_1_2022,Pleurosigma sp. mgcode 4,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Pleurosigmataceae,Pleurosigma,0
Pabay,14_1_2022,Cyclotella cryptica.1,,,,,,,,,,0
Pabay,14_1_2022,Guinardia striata.1,,,,,,,,,,0
Pabay,14_1_2022,Guinardia delicatula.4,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira nordenskioeldii,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Thalassiosiraceae,Thalassiosira,0
Pabay,14_1_2022,Guinardia delicatula.5,,,,,,,,,,0
Pabay,14_1_2022,Rhizosolenia setigera,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,0
Pabay,14_1_2022,Discostella sp. clade A (type II),Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Stephanodiscaceae,Discostella,0
Pabay,14_1_2022,Chaetoceros tenuissimus.2,,,,,,,,,,0
Pabay,14_1_2022,Cyclotella cryptica.2,,,,,,,,,,0
Pabay,14_1_2022,Pinnularia sp. 9 CS-2011,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Pinnulariaceae,Pinnularia,0
Pabay,14_1_2022,Chaetoceros socialis.1,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira rotula.1,,,,,,,,,,0
Pabay,14_1_2022,Skeletonema menzelii.2,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira punctigera.1,,,,,,,,,,0
Pabay,14_1_2022,Skeletonema menzelii.3,,,,,,,,,,0
Pabay,14_1_2022,Guinardia delicatula.6,,,,,,,,,,0
Pabay,14_1_2022,Chaetoceros tenuissimus.3,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira rotula.2,,,,,,,,,,0
Pabay,14_1_2022,Cyclotella cryptica.3,,,,,,,,,,0
Pabay,14_1_2022,Pleurosigma inscriptura.1,,,,,,,,,,0
Pabay,14_1_2022,Guinardia delicatula.7,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira rotula.5,,,,,,,,,,0
Pabay,14_1_2022,Skeletonema subsalsum,Eukaryota,Ochrophyta,,Bacillariophyceae,Mediophyceae,,Thalassiosirales,Skeletonemataceae,Skeletonema,0
Pabay,14_1_2022,Chaetoceros socialis.2,,,,,,,,,,0
Pabay,14_1_2022,Skeletonema potamos.1,,,,,,,,,,0
Pabay,14_1_2022,Skeletonema menzelii.4,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira nordenskioeldii.1,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira rotula.6,,,,,,,,,,0
Pabay,14_1_2022,Chaetoceros tenuissimus.4,,,,,,,,,,0
Pabay,14_1_2022,Schizostauron trachyderma,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Stauroneidaceae,Schizostauron,0
Pabay,14_1_2022,Thalassiosira rotula.7,,,,,,,,,,0
Pabay,14_1_2022,Guinardia delicatula.8,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira rotula.8,,,,,,,,,,0
Pabay,14_1_2022,Stephanodiscus cf. minutulus.1,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira rotula.9,,,,,,,,,,0
Pabay,14_1_2022,Chaetoceros tenuissimus.5,,,,,,,,,,0
Pabay,14_1_2022,Guinardia striata.2,,,,,,,,,,0
Pabay,14_1_2022,Thalassiosira rotula.10,,,,,,,,,,0
Pabay,14_1_2022,Haslea ostrearia,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculaceae,Haslea,0
Pabay,14_1_2022,Skeletonema menzelii.6,,,,,,,,,,0
Pabay,14_1_2022,Thalassionema nitzschioides,Eukaryota,Ochrophyta,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,Bacillariaceae,Thalassionema,0
Pabay,14_1_2022,Thalassionema nitzschioides.2,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.5,,,,,,,,,,0
Pabay,14_1_2022,Ditylum brightwellii.3,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.6,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.7,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.8,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.9,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.10,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium intricatum.3,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.11,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium undulatum.2,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.12,,,,,,,,,,0
Pabay,14_1_2022,Ditylum brightwellii.4,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium undulatum.3,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium intricatum.4,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.13,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.14,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.15,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.16,,,,,,,,,,0
Pabay,14_1_2022,Lithodesmium undulatum.4,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.17,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.18,,,,,,,,,,0
Pabay,14_1_2022,Ditylum brightwellii.5,,,,,,,,,,0
Pabay,14_1_2022,Minutocellus polymorphus.19,,,,,,,,,,0
Pabay,14_1_2022,Hemiaulus sinensis.3,,,,,,,,,,0
Pabay,14_1_2022,Ditylum brightwellii.6,,,,,,,,,,0
Pabay,14_1_2022,Cernosvitoviella minor,,,,,,,,,,0
Pabay,14_1_2022,Prionospio fallax,,,,,,,,,,0
Pabay,14_1_2022,Dasybranchus sp. DH1,,,,,,,,,,0
Pabay,14_1_2022,Ceriantharia gen. n. sp. n. US-2023,,,,,,,,,,0
Pabay,14_1_2022,Edwardsia timida,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Anthoathecata,Bougainvilliidae,Bougainvillia,0
Pabay,14_1_2022,Garveia annulata,,,,,,,,,,0
Pabay,14_1_2022,Aequorea sp. USNM IZ 1448486,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus.1,,,,,,,,,,0
Pabay,14_1_2022,Lanice conchilega,Animalia,Annelida,,Polychaeta,Sedentaria,,Terebellida,Terebellidae,Lanice,0
Pabay,14_1_2022,Aglaophenia pluma,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Aglaopheniidae,Aglaophenia,0
Pabay,14_1_2022,Apolemia sp.,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus.2,,,,,,,,,,0
Pabay,14_1_2022,Obelia dichotoma,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Obelia,0
Pabay,14_1_2022,Pennaria disticha,,,,,,,,,,0
Pabay,14_1_2022,Obelia bidentata.1,,,,,,,,,,0
Pabay,14_1_2022,Laodicea sp. HAW02,,,,,,,,,,0
Pabay,14_1_2022,Garveia annulata.1,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 2 AFC-2016.1,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus.3,,,,,,,,,,0
Pabay,14_1_2022,Lanice conchilega.1,,,,,,,,,,0
Pabay,14_1_2022,Obelia dichotoma.1,,,,,,,,,,0
Pabay,14_1_2022,Ectopleura larynx,,,,,,,,,,0
Pabay,14_1_2022,Siphonophorae sp. NHM_339,,,,,,,,,,0
Pabay,14_1_2022,Apatizanclea divergens,,,,,,,,,,0
Pabay,14_1_2022,Mitrocomella brownei,,,,,,,,,,0
Pabay,14_1_2022,Obelia bidentata.2,,,,,,,,,,0
Pabay,14_1_2022,Orthopyxis crenata,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 1 SL-2013,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,,Leptothecata,Campanulariidae,Clytia,0
Pabay,14_1_2022,Siphonophorae sp. NHM_339.1,,,,,,,,,,0
Pabay,14_1_2022,Lanice conchilega.2,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 2 AFC-2016.3,,,,,,,,,,0
Pabay,14_1_2022,Obelia sp. 3 SL-2013,,,,,,,,,,0
Pabay,14_1_2022,Siphonophorae sp. NHM_339.2,,,,,,,,,,0
Pabay,14_1_2022,Obelia sp. MZUSP 3356,,,,,,,,,,0
Pabay,14_1_2022,Aglaophenia tubulifera.1,,,,,,,,,,0
Pabay,14_1_2022,Halecium sp. BMOO-08734,,,,,,,,,,0
Pabay,14_1_2022,Aglaophenia tubulifera.2,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus.4,,,,,,,,,,0
Pabay,14_1_2022,Coryne pintneri,,,,,,,,,,0
Pabay,14_1_2022,Sarsia tubulosa,,,,,,,,,,0
Pabay,14_1_2022,Lanice conchilega.3,,,,,,,,,,0
Pabay,14_1_2022,Obelia dichotoma.2,,,,,,,,,,0
Pabay,14_1_2022,Apolemia sp..1,,,,,,,,,,0
Pabay,14_1_2022,Sarsia tubulosa.1,,,,,,,,,,0
Pabay,14_1_2022,Eutima mira,,,,,,,,,,0
Pabay,14_1_2022,Aglaophenia pluma.1,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus.5,,,,,,,,,,0
Pabay,14_1_2022,Dynamena pumila,,,,,,,,,,0
Pabay,14_1_2022,Forskalia tholoides,,,,,,,,,,0
Pabay,14_1_2022,Rhizorhagium arenosum,,,,,,,,,,0
Pabay,14_1_2022,Obelia dichotoma.3,,,,,,,,,,0
Pabay,14_1_2022,Trichobranchus glacialis,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus.6,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 1 SL-2013.1,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 2 AFC-2016.4,,,,,,,,,,0
Pabay,14_1_2022,Liriope tetraphylla,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 1 SL-2013.2,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 1 SL-2013.3,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 2 AFC-2016.5,,,,,,,,,,0
Pabay,14_1_2022,Bougainvillia muscus.7,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 1 SL-2013.4,,,,,,,,,,0
Pabay,14_1_2022,Coryne pintneri.1,,,,,,,,,,0
Pabay,14_1_2022,Lanice conchilega.4,,,,,,,,,,0
Pabay,14_1_2022,Tiaropsis multicirrata,,,,,,,,,,0
Pabay,14_1_2022,Obelia bidentata.3,,,,,,,,,,0
Pabay,14_1_2022,Eucheilota maculata,,,,,,,,,,0
Pabay,14_1_2022,Apolemia sp. 3 CWD-2005,,,,,,,,,,0
Pabay,14_1_2022,Botrynema brucei,,,,,,,,,,0
Pabay,14_1_2022,Praya dubia,,,,,,,,,,0
Pabay,14_1_2022,Clytia sp. 2 AFC-2016.7,,,,,,,,,,0
Pabay,14_1_2022,Pennaria disticha.1,,,,,,,,,,0
Pabay,14_1_2022,Malacoceros cf. fuliginosus ZMBN 130837,,,,,,,,,,0
Pabay,14_1_2022,Aurelia sp. 11 sensu Dawson et al. (2005),,,,,,,,,,0
Pabay,14_1_2022,Cassiopea xamachana.1,,,,,,,,,,0
Pabay,14_1_2022,Cassiopea xamachana.2,,,,,,,,,,0
Pabay,14_1_2022,Aurelia aurita,Animalia,Cnidaria,,Scyphozoa,Discomedusae,,Semaeostomeae,Ulmaridae,Aurelia,0
Pabay,14_1_2022,Cassiopea sp. PGNIMCP,,,,,,,,,,0
Pabay,14_1_2022,Cassiopea sp. PGNIMCP.1,,,,,,,,,,0
Pabay,14_1_2022,Cassiopea xamachana.3,,,,,,,,,,0
Pabay,14_1_2022,Aurelia sp. 11 sensu Dawson et al. (2005).1,,,,,,,,,,0
Pabay,14_1_2022,Cassiopea xamachana.4,,,,,,,,,,0
Pabay,14_1_2022,Asterias rubens,Animalia,Echinodermata,Eleutherozoa,Asteroidea,,,Forcipulatida,Asteriidae,Asterias,0
Pabay,14_1_2022,Dasybranchus sp. DH1.1,,,,,,,,,,0
Pabay,14_1_2022,Asterias rubens.1,,,,,,,,,,0
Pabay,14_1_2022,Asterias rubens.2,,,,,,,,,,0
Pabay,14_1_2022,Asterias rubens.3,,,,,,,,,,0
Pabay,14_1_2022,Nesometra sp. i GP-2023,,,,,,,,,,0
Pabay,14_1_2022,Psathyrometra cf. fragilis,,,,,,,,,,0
Pabay,14_1_2022,Endoxocrinus parrae,,,,,,,,,,0
Pabay,14_1_2022,Temnopleurus toreumaticus,,,,,,,,,,0
Pabay,14_1_2022,Psammechinus miliaris,,,,,,,,,,0
Pabay,14_1_2022,Amphiura filiformis,,,,,,,,,,0
Pabay,14_1_2022,Ophiothrix fragilis,,,,,,,,,,0
Pabay,14_1_2022,Amynthas sp. EWBC-3,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.1,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.2,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.3,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.4,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.5,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.6,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.7,,,,,,,,,,0
Pabay,14_1_2022,Chaetonotus aff. gelidus MK-2019,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.8,,,,,,,,,,0
Pabay,14_1_2022,Nonparahalosydna pleiolepis,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.9,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.10,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.11,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.12,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.13,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.14,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.15,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.16,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.17,,,,,,,,,,0
Pabay,14_1_2022,Evadne sp.,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.18,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.19,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.20,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.21,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.22,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.23,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.24,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.25,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.26,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.27,,,,,,,,,,0
Pabay,14_1_2022,Evadne sp..1,,,,,,,,,,0
Pabay,14_1_2022,Urodasys sp. 114a.28,,,,,,,,,,0
Pabay,14_1_2022,Musculus sp. CROBB104,,,,,,,,,,0
