Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,sample_type,Total_reads,Species,Kingdom,Phylum,Class,Order,Family,Genus,Species_full,Abundance,group_precise
Alaria,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,reads,11373.5,Lacuna vincta,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,Lacuna vincta,0.003266135,Gastropoda
Alaria,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,reads,11373.5,Mitrella moleculina,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella moleculina,0.001525301,Gastropoda
Saccharina,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,reads,11373.5,Lacuna vincta,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,Lacuna vincta,0.003266135,Gastropoda
Saccharina,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,reads,11373.5,Mitrella moleculina,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,Mitrella moleculina,0.001525301,Gastropoda
Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,reads,1412.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,9.380530973,Hydrozoa
Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,reads,1412.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.389380531,Hydrozoa
Alaria,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,reads,1412.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.814159292,Hydrozoa
Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,reads,1412.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,9.380530973,Hydrozoa
Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,reads,1412.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.389380531,Hydrozoa
Saccharina,Pabay_10_12_21_1,Pabay,NE,1,10_12_2021,10,12,2021,reads,1412.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.814159292,Hydrozoa
Alaria,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,reads,1191.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.713386488,Hydrozoa
Saccharina,Pabay_10_12_21_2,Pabay,NW,2,10_12_2021,10,12,2021,reads,1191.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.713386488,Hydrozoa
Alaria,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,reads,12291.5,Pennaria disticha.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,Pennaria,Pennaria disticha,0.004067852,Hydrozoa
Saccharina,Pabay_10_4_22_2,Pabay,NW,2,10_4_2022,10,4,2022,reads,12291.5,Pennaria disticha.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,Pennaria,Pennaria disticha,0.004067852,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,2.524374007,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,1.960657991,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,0.306017266,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus.2,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,0.209380235,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Obelia bidentata.1,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.110595714,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Clytia sp. 2 AFC-2016.1,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.092342052,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus.3,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,0.082678349,Hydrozoa
Alaria,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Clytia sp. 1 SL-2013,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 1 SL-2013,0.052613495,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,2.524374007,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,1.960657991,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,0.306017266,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus.2,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,0.209380235,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Obelia bidentata.1,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.110595714,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Clytia sp. 2 AFC-2016.1,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.092342052,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Bougainvillia muscus.3,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,0.082678349,Hydrozoa
Saccharina,Pabay_10_4_22_3,Pabay,Mid,3,10_4_2022,10,4,2022,reads,93132,Clytia sp. 1 SL-2013,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 1 SL-2013,0.052613495,Hydrozoa
Alaria,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,reads,3404,Obelia bidentata.3,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.044065805,Hydrozoa
Saccharina,Pabay_13_11_21_1,Pabay,NE,1,13_11_2021,13,11,2021,reads,3404,Obelia bidentata.3,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.044065805,Hydrozoa
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Aequorea sp. USNM IZ 1448486,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Aequorea sp. USNM IZ 1448486,0.31875902,Hydrozoa
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Garveia annulata.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,0.033225696,Hydrozoa
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Siphonophorae sp. NHM_339.1,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae sp. NHM 339,0.046723635,Hydrozoa
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Coryne pintneri,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Coryne,Coryne pintneri,0.025957575,Hydrozoa
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Apolemia sp..1,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.,0.022842666,Hydrozoa
Alaria,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Liriope tetraphylla,Animalia,Cnidaria,Hydrozoa,Leptothecata,Geryoniidae,Liriope,Liriope tetraphylla,0.008306424,Hydrozoa
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Aequorea sp. USNM IZ 1448486,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Aequorea sp. USNM IZ 1448486,0.31875902,Hydrozoa
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Garveia annulata.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,0.033225696,Hydrozoa
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Siphonophorae sp. NHM_339.1,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae sp. NHM 339,0.046723635,Hydrozoa
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Coryne pintneri,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Coryne,Coryne pintneri,0.025957575,Hydrozoa
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Apolemia sp..1,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.,0.022842666,Hydrozoa
Saccharina,Pabay_13_11_21_3,Pabay,Mid,3,13_11_2021,13,11,2021,reads,48155.5,Liriope tetraphylla,Animalia,Cnidaria,Hydrozoa,Leptothecata,Geryoniidae,Liriope,Liriope tetraphylla,0.008306424,Hydrozoa
Alaria,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.652140158,Hydrozoa
Alaria,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.072460018,Hydrozoa
Alaria,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,0.041405724,Hydrozoa
Alaria,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.051757155,Hydrozoa
Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.652140158,Hydrozoa
Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.072460018,Hydrozoa
Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,0.041405724,Hydrozoa
Saccharina,Pabay_14_1_22_1,Pabay,NE,1,14_1_2022,14,1,2022,reads,9660.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.051757155,Hydrozoa
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,3.779601652,Hydrozoa
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.151602279,Hydrozoa
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,1.076898949,Hydrozoa
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Obelia bidentata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.073187307,Hydrozoa
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.041821318,Hydrozoa
Alaria,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Clytia sp. 2 AFC-2016.6,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.01045533,Hydrozoa
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,3.779601652,Hydrozoa
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.151602279,Hydrozoa
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,1.076898949,Hydrozoa
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Obelia bidentata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.073187307,Hydrozoa
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.041821318,Hydrozoa
Saccharina,Pabay_14_1_22_2,Pabay ,NW,2,14_1_2022,14,1,2022,reads,9564.5,Clytia sp. 2 AFC-2016.6,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.01045533,Hydrozoa
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,2.161248375,Hydrozoa
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.11183355,Hydrozoa
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,0.535760728,Hydrozoa
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Obelia bidentata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.036410923,Hydrozoa
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.046814044,Hydrozoa
Alaria,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Clytia sp. 2 AFC-2016.6,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.00520156,Hydrozoa
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,2.161248375,Hydrozoa
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.11183355,Hydrozoa
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,0.535760728,Hydrozoa
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Obelia bidentata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia bidentata,0.036410923,Hydrozoa
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.046814044,Hydrozoa
Saccharina,Pabay_14_1_22_3,Pabay,Mid,3,14_1_2022,14,1,2022,reads,9612.5,Clytia sp. 2 AFC-2016.6,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.00520156,Hydrozoa
Alaria,Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,reads,41126.5,Obelia sp. 3 SL-2013,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia sp. 3 SL-2013,0.05349349,Hydrozoa
Saccharina,Pabay_15_6_21_2,Pabay,NW,2,15_6_2021,15,6,2021,reads,41126.5,Obelia sp. 3 SL-2013,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia sp. 3 SL-2013,0.05349349,Hydrozoa
Alaria,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,reads,36823.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.006789143,Hydrozoa
Alaria,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,reads,36823.5,Garveia annulata,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,0.473882168,Hydrozoa
Saccharina,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,reads,36823.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.006789143,Hydrozoa
Saccharina,Pabay_15_7_22_1,Pabay,NE,1,15_7_2022,15,7,2022,reads,36823.5,Garveia annulata,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,0.473882168,Hydrozoa
Alaria,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Garveia annulata.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,0.081266456,Hydrozoa
Alaria,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Siphonophorae sp. NHM_339,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae sp. NHM 339,0.221044762,Hydrozoa
Alaria,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Mitrocomella brownei,Animalia,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocomella,Mitrocomella brownei,0.185287521,Hydrozoa
Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Garveia annulata.1,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,0.081266456,Hydrozoa
Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Siphonophorae sp. NHM_339,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae sp. NHM 339,0.221044762,Hydrozoa
Saccharina,Pabay_15_7_22_2,Pabay,NW,2,15_7_2022,15,7,2022,reads,15381.5,Mitrocomella brownei,Animalia,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocomella,Mitrocomella brownei,0.185287521,Hydrozoa
Alaria,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,reads,624,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,0.480769231,Hydrozoa
Saccharina,Pabay_21_12_21_2,Pabay,NW,2,21_12_2021,21,12,2021,reads,624,Aglaophenia tubulifera,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,0.480769231,Hydrozoa
Alaria,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,reads,1093,Botrynema brucei,Animalia,Cnidaria,Hydrozoa,Trachylina,Halicreatidae,Botrynema,Botrynema brucei,0.091491308,Hydrozoa
Saccharina,Pabay_21_3_22_1,Pabay,NE,1,21_3_2022,21,3,2022,reads,1093,Botrynema brucei,Animalia,Cnidaria,Hydrozoa,Trachylina,Halicreatidae,Botrynema,Botrynema brucei,0.091491308,Hydrozoa
Alaria,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,reads,2658,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,2.878103837,Hydrozoa
Alaria,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,reads,2658,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.808878856,Hydrozoa
Saccharina,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,reads,2658,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,2.878103837,Hydrozoa
Saccharina,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,reads,2658,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,0.808878856,Hydrozoa
Alaria,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,reads,2908.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,4.813477738,Hydrozoa
Saccharina,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,reads,2908.5,Maresearsia praeclara,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Maresearsia,Maresearsia praeclara,4.813477738,Hydrozoa
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Clytia sp. 2 AFC-2016,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.304676403,Hydrozoa
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Apolemia sp.,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.,0.224441336,Hydrozoa
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Obelia dichotoma,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia dichotoma,0.165891422,Hydrozoa
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Pennaria disticha,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,Pennaria,Pennaria disticha,0.123605374,Hydrozoa
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Clytia sp. 2 AFC-2016.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 2 AFC-2016,0.004337031,Hydrozoa
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Sarsia tubulosa,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,Sarsia tubulosa,0.026022184,Hydrozoa
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,reads,46114.5,Clytia sp. 1 SL-2013.2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia sp. 1 SL-2013,0.007589804,Hydrozoa
