Seaweed,Sample_code,Site,Date,Day,Month,Year,sample_type,Total_Zooplankton,Bivalvia,Bryozoa ,Clytia,Copepod nauplii,Copepods,Ctenophore,Decapoda larvae,Euphysa sp.,Evadne,Fish egg,Fish larvae,Gastropoda,Holoplankton,Holothuria larvae,Hydroids,Lizzia blondina,Meroplankton,Microfibers,MP Fragments,Nemertini larvae,Obelia,Ophiura larvae,other Polychaetae larvae,Phoronida larvae,Podon,Rathkea Octopunctata,Sabellariidae,Sagitta,Sea_urchin_larvae,Siphonophorae,Solmaris corona,Spionida,Stauridiosarsia gemmifera,total_Balanoida,Total_Brachiopoda,total_Copepoda,Total_Hydrozoa,Total_Malacostraca,Total_Polychaeta,unknown_Jellies
Alaria,Pabay_8_2_22_1,Pabay,8_2_2022,8,2,2022,zooplankton,155,2,0,0,17,68,0,0,0,0,0,0,34,85,0,0,0,70,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,85,0,0,34,0
Saccharina,Pabay_8_2_22_1,Pabay,8_2_2022,8,2,2022,zooplankton,155,2,0,0,17,68,0,0,0,0,0,0,34,85,0,0,0,70,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,85,0,0,34,0
Alaria,Pabay_8_2_22_2,Pabay,8_2_2022,8,2,2022,zooplankton,849,136,17,0,119,373,0,0,0,0,0,0,34,526,0,0,0,323,0,2,0,0,0,102,0,0,0,34,0,0,0,0,0,0,34,0,492,0,0,136,0
Saccharina,Pabay_8_2_22_2,Pabay,8_2_2022,8,2,2022,zooplankton,849,136,17,0,119,373,0,0,0,0,0,0,34,526,0,0,0,323,0,2,0,0,0,102,0,0,0,34,0,0,0,0,0,0,34,0,492,0,0,136,0
Alaria,Pabay_8_2_22_3,Pabay,8_2_2022,8,2,2022,zooplankton,719,85,0,0,289,221,0,0,0,0,17,0,68,530,0,0,0,189,2,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,509,0,2,34,0
Saccharina,Pabay_8_2_22_3,Pabay,8_2_2022,8,2,2022,zooplankton,719,85,0,0,289,221,0,0,0,0,17,0,68,530,0,0,0,189,2,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,509,0,2,34,0
Alaria,Pabay_8_3_22_1,Pabay,8_3_2022,8,3,2022,zooplankton,3181,289,17,0,136,187,0,2,0,2,2,0,85,2568,0,0,0,613,0,0,0,0,0,17,0,0,0,204,0,0,0,0,0,0,2241,2,323,0,2,221,0
Saccharina,Pabay_8_3_22_1,Pabay,8_3_2022,8,3,2022,zooplankton,3181,289,17,0,136,187,0,2,0,2,2,0,85,2568,0,0,0,613,0,0,0,0,0,17,0,0,0,204,0,0,0,0,0,0,2241,2,323,0,2,221,0
Alaria,Pabay_8_3_22_2,Pabay,8_3_2022,8,3,2022,zooplankton,5044,204,34,0,340,441,0,0,0,2,0,0,136,4399,0,0,0,645,2,0,0,0,0,0,0,0,0,255,0,17,0,0,0,0,3616,2,781,0,0,255,0
Saccharina,Pabay_8_3_22_2,Pabay,8_3_2022,8,3,2022,zooplankton,5044,204,34,0,340,441,0,0,0,2,0,0,136,4399,0,0,0,645,2,0,0,0,0,0,0,0,0,255,0,17,0,0,0,0,3616,2,781,0,0,255,0
Alaria,Pabay_8_3_22_3,Pabay,8_3_2022,8,3,2022,zooplankton,6510,34,51,0,51,204,0,2,0,2,17,0,102,6232,0,0,0,278,0,0,0,2,0,2,0,0,0,85,0,0,0,0,0,0,5959,2,255,2,2,87,0
Saccharina,Pabay_8_3_22_3,Pabay,8_3_2022,8,3,2022,zooplankton,6510,34,51,0,51,204,0,2,0,2,17,0,102,6232,0,0,0,278,0,0,0,2,0,2,0,0,0,85,0,0,0,0,0,0,5959,2,255,2,2,87,0
Alaria,Scalpay_15_6_21_1,Scalpay,15_6_2021,15,6,2021,zooplankton,10137,1833,0,0,6112,1833,0,0,0,25,0,0,127,8174,0,0,0,1963,25,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,25,7945,0,0,2,0
Saccharina,Scalpay_15_6_21_1,Scalpay,15_6_2021,15,6,2021,zooplankton,10137,1833,0,0,6112,1833,0,0,0,25,0,0,127,8174,0,0,0,1963,25,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,25,7945,0,0,2,0
Alaria,Scalpay_15_6_21_2,Scalpay,15_6_2021,15,6,2021,zooplankton,8535,1197,25,0,5526,1451,0,2,0,25,76,0,25,7207,0,0,0,1328,25,0,0,0,76,0,0,0,0,0,0,2,0,0,0,0,25,25,6977,0,2,0,0
Saccharina,Scalpay_15_6_21_2,Scalpay,15_6_2021,15,6,2021,zooplankton,8535,1197,25,0,5526,1451,0,2,0,25,76,0,25,7207,0,0,0,1328,25,0,0,0,76,0,0,0,0,0,0,2,0,0,0,0,25,25,6977,0,2,0,0
Alaria,Scalpay_15_6_21_3,Scalpay,15_6_2021,15,6,2021,zooplankton,5479,662,0,0,3514,942,0,0,0,2,0,0,51,4637,0,0,0,842,127,0,0,0,51,0,0,0,0,76,0,0,0,0,0,0,0,2,4456,0,0,76,0
Saccharina,Scalpay_15_6_21_3,Scalpay,15_6_2021,15,6,2021,zooplankton,5479,662,0,0,3514,942,0,0,0,2,0,0,51,4637,0,0,0,842,127,0,0,0,51,0,0,0,0,76,0,0,0,0,0,0,0,2,4456,0,0,76,0
Alaria,Scalpay_15_6_21_4,Scalpay,15_6_2021,15,6,2021,zooplankton,8006,1171,0,0,5017,1426,0,0,0,2,204,0,51,6703,0,0,0,1301,0,0,0,0,25,25,0,2,0,0,2,25,0,0,0,0,2,4,6443,0,2,25,0
Saccharina,Scalpay_15_6_21_4,Scalpay,15_6_2021,15,6,2021,zooplankton,8006,1171,0,0,5017,1426,0,0,0,2,204,0,51,6703,0,0,0,1301,0,0,0,0,25,25,0,2,0,0,2,25,0,0,0,0,2,4,6443,0,2,25,0
Alaria,Scalpay_15_6_21_5,Scalpay,15_6_2021,15,6,2021,zooplankton,7338,1248,0,0,4074,1732,0,2,0,0,51,0,178,5908,0,0,0,1430,25,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5806,0,2,0,0
Saccharina,Scalpay_15_6_21_5,Scalpay,15_6_2021,15,6,2021,zooplankton,7338,1248,0,0,4074,1732,0,2,0,0,51,0,178,5908,0,0,0,1430,25,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5806,0,2,0,0
Alaria,Scalpay_21_12_21_1,Scalpay,21_12_2021,21,12,2021,zooplankton,1207,34,68,0,272,628,0,0,0,0,0,0,34,902,0,0,0,306,17,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,900,0,0,170,0
Saccharina,Scalpay_21_12_21_1,Scalpay,21_12_2021,21,12,2021,zooplankton,1207,34,68,0,272,628,0,0,0,0,0,0,34,902,0,0,0,306,17,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,900,0,0,170,0
Alaria,Scalpay_21_12_21_2,Scalpay,21_12_2021,21,12,2021,zooplankton,651,102,17,0,272,221,0,0,0,2,0,0,17,498,0,0,0,153,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,2,492,0,0,17,0
Saccharina,Scalpay_21_12_21_2,Scalpay,21_12_2021,21,12,2021,zooplankton,651,102,17,0,272,221,0,0,0,2,0,0,17,498,0,0,0,153,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,2,492,0,0,17,0
Alaria,Scalpay_21_12_21_3,Scalpay,21_12_2021,21,12,2021,zooplankton,902,51,51,0,458,272,0,0,0,0,17,0,2,781,0,0,0,121,34,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,730,0,0,17,0
Saccharina,Scalpay_21_12_21_3,Scalpay,21_12_2021,21,12,2021,zooplankton,902,51,51,0,458,272,0,0,0,0,17,0,2,781,0,0,0,121,34,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,730,0,0,17,0
